"id","label","counttotal","treedepth"
"colour-vision","Colour vision",5,"5 3"
"combination-drug-therapy","Combination drug therapy",32,"4"
"combinatorial-chemistry","Combinatorial chemistry",5,"3"
"combinatorial-libraries","Combinatorial libraries",6,"2 3"
"communicating-chemistry","Communicating chemistry",28,"3"
"communication","Communication",183,"2"
"communication-and-replication","Communication and replication",0,"2"
"communication-skills-in-dentistry","Communication skills in dentistry",0,"4"
"community-ecology","Community ecology",41,"2"
"comorbidities","Comorbidities",0,"2"
"comparative-genomic-hybridization","Comparative genomic hybridization",1,"3"
"comparative-genomics","Comparative genomics",53,"3"
"complement","Complement",6,"4 3"
"complement-cascade","Complement cascade",8,"2"
"complex-networks","Complex networks",162,"3"
"complexity","Complexity",9,"2"
"composite-resin","Composite resin",0,"4"
"composites","Composites",46,"3"
"computational-astrophysics","Computational astrophysics",10,"3"
"computational-biology-and-bioinformatics","Computational biology and bioinformatics",1520,"1"
"computational-biophysics","Computational biophysics",81,"2"
"computational-chemistry","Computational chemistry",55,"2 3"
